Economy,Year,RETT,RECL,RECP,REPP,REKR,REGD,RELP,RENG,REGL,REOT,REEL,CSTT,CSCL,CSCP,CSPP,CSKR,CSGD,CSFO,CSLP,CSNG,CSGL,CSOT,CSEL,GDP,CSGDP,POP,POPU,GDPC
01_AUS,1980,6040,19,39,785,574,91,120,1103,19,1584,2491,2403,111,44,507,13,345,54,95,387,0,22,1332,439.4,251.3,14.69,12.57,29907.53
01_AUS,1981,6098,18,31,586,385,81,120,1184,25,1631,2623,2461,102,42,427,13,276,46,92,419,0,24,1447,454.07,263.59,14.93,12.79,30419.25
01_AUS,1982,6305,17,22,541,340,76,125,1318,30,1624,2753,2526,97,41,369,16,220,41,92,486,0,24,1509,469.18,272.66,15.18,13,30912
01_AUS,1983,6309,15,16,473,280,68,125,1367,37,1620,2781,2548,98,41,299,16,155,33,95,522,0,23,1565,458.76,271.43,15.37,13.16,29849.91
01_AUS,1984,6411,14,14,441,246,64,131,1418,43,1620,2861,2553,96,43,252,16,106,27,103,552,0,19,1591,479.78,281.19,15.54,13.31,30865.99
01_AUS,1985,6432,13,12,442,241,60,141,1492,50,1621,2802,2655,95,41,238,13,88,24,113,586,0,18,1677,504.97,295.63,15.76,13.49,32045.06
01_AUS,1986,6689,12,10,404,191,56,157,1568,83,1648,2964,2773,93,42,239,11,82,22,124,599,0,0,1800,525.35,311.19,16.02,13.7,32796.67
01_AUS,1987,6888,10,10,405,181,55,169,1676,81,1648,3058,2907,91,41,231,11,67,21,132,633,0,0,1911,538.78,326.25,16.26,13.91,33127.1
01_AUS,1988,6898,9,7,374,147,54,173,1626,81,1691,3110,3091,87,42,241,13,67,19,142,667,0,0,2054,569.69,346.02,16.53,14.13,34459.44
01_AUS,1989,6988,7,6,365,132,53,180,1688,81,1691,3150,3268,88,44,249,13,65,18,153,694,0,0,2193,591.74,359.14,16.81,14.37,35192.2
01_AUS,1990,7490,6,6,378,137,53,188,1934,81,1770,3315,3480,83,43,256,14,60,21,161,750,0,0,2348,612.85,374.65,17.07,14.58,35912.73
01_AUS,1991,7617,6,5,374,131,50,193,1956,81,1820,3375,3612,76,42,257,14,56,18,169,772,0,0,2465,610.43,377.86,17.28,14.76,35317.47
01_AUS,1992,7765,3,4,383,136,51,196,2042,80,1872,3381,3697,60,41,282,14,58,36,174,819,0,0,2495,612.95,387.59,17.5,14.92,35035.73
01_AUS,1993,8345,3,4,407,150,52,205,2137,80,2219,3495,3799,52,39,295,14,57,36,188,850,0,0,2563,637.65,398.88,17.67,15.04,36092.62
01_AUS,1994,7994,2,5,372,113,51,208,2098,80,1949,3488,3883,48,39,284,14,56,19,195,864,0,0,2648,663.03,418.53,17.86,15.18,37134.24
01_AUS,1995,8310,2,5,366,97,50,219,2280,80,1951,3626,4145,41,40,287,14,55,17,201,937,0,0,2840,688.45,442.98,18.07,15.34,38095.1
01_AUS,1996,8434,1,4,359,92,43,224,2413,80,1862,3715,4402,33,40,291,14,54,16,207,981,0,15,3042,715.16,457.27,18.31,15.52,39056.18
01_AUS,1997,8620,1,4,362,95,39,228,2441,80,1881,3851,4546,31,39,289,13,53,11,212,995,0,12,3180,743.52,478.92,18.52,15.67,40153.6
01_AUS,1998,8788,1,3,353,86,35,232,2516,80,1863,3972,4760,26,27,296,13,54,10,219,1054,0,10,3347,777.55,498.22,18.71,15.81,41555.91
01_AUS,1999,8826,1,2,337,69,32,236,2491,81,1845,4069,4900,22,22,303,14,52,10,227,1070,0,10,3473,817,524.24,18.93,15.97,43168.29
01_AUS,2000,9061,0,2,350,75,36,239,2563,82,1870,4194,5042,23,22,313,0,51,10,252,1084,0,10,3590,849.14,546.03,19.15,16.13,44334.39
01_AUS,2001,9227,1,3,340,61,36,243,2630,83,1905,4265,5029,29,39,312,0,45,10,257,1105,4,10,3530,865.53,565.77,19.41,16.33,44585.17
01_AUS,2002,9538,1,3,339,58,34,247,2703,84,2000,4408,5626,9,58,475,15,382,3,75,913,4,10,4157,900.17,587.37,19.65,16.55,45806.69
01_AUS,2003,9535,1,3,361,63,36,262,2703,63,1807,4597,6088,29,58,452,9,364,4,75,953,4,14,4578,927.04,605.11,19.9,16.78,46595.9
01_AUS,2004,9461,1,2,326,35,34,257,2711,59,1587,4775,6225,30,31,495,9,386,3,97,960,4,15,4690,964.64,627.68,20.13,17,47926.73
01_AUS,2005,9286,1,2,294,0,33,261,2777,59,1437,4716,6236,30,39,493,8,410,3,72,966,4,20,4684,995.55,651.19,20.39,17.25,48813.88
01_AUS,2006,9386,1,2,264,0,30,234,2855,54,1423,4787,6319,21,31,568,8,486,3,71,935,4,22,4738,1023.37,671.78,20.7,17.53,49443.2
01_AUS,2007,9757,1,2,318,0,30,288,2899,140,1463,4934,6651,20,25,585,9,502,3,71,934,4,23,5060,1062.71,699.94,20.83,17.67,51024.21
01_AUS,2008,9814,1,1,285,0,28,257,2948,155,1429,4995,6737,17,23,603,6,522,3,72,948,5,24,5117,1101.59,723.84,21.25,18.05,51841.25
01_AUS,2009,10162,0,1,375,0,26,349,3039,190,1393,5164,6960,15,19,621,7,537,3,74,1015,7,24,5259,1122.92,739.43,21.69,18.45,51767.35
01_AUS,2010,10253,0,0,366,0,26,340,3102,242,1328,5215,6972,13,0,624,7,541,3,73,1049,9,23,5254,1146.14,753.46,22.03,18.77,52022.13
01_AUS,2011,10477,0,0,385,0,25,360,3185,269,1261,5377,7000,10,0,625,7,542,3,73,1058,10,13,5284,1174.36,775.2,22.34,19.06,52567.75
01_AUS,2012,10454,0,0,377,0,24,353,3244,286,1261,5286,6980,6,0,639,7,555,4,73,1053,10,29,5243,1220.18,801.23,22.73,19.41,53673.1
01_AUS,2013,10485,0,0,385,0,23,362,3329,305,1261,5205,7164,2,0,642,7,556,2,77,1048,9,46,5417,1252.09,821.19,23.13,19.78,54137.19
01_AUS,2014,10329,0,0,379,0,24,355,3416,307,1237,4990,7360,5,0,722,8,574,18,80,1130,9,50,5444,1284.25,839.55,23.48,20.1,54705.73
01_AUS,2015,10491,0,1,369,0,26,343,3488,345,1191,5097,7838,5,0,790,8,648,7,84,1214,10,47,5772,1314.26,863.02,23.82,20.41,55183.74
01_AUS,2016,10518,0,1,342,0,0,342,3564,346,1176,5089,7919,6,0,800,8,664,7,82,1256,10,58,5789,1351.67,894.55,24.19,20.76,55875.1
